timestamp,timestamp,trackNumber,e1.x,e1.y,e1.z,e1.latitude,e1.longitude,e1.altitude,e1.xdot,e1.ydot,e1.zdot,e1.velocityEast,e1.velocityNorth,e1.velocityUp,e1.groundSpeed,e1.heading,e1.trackQuality,e1.category,e1.is3d,e1.isDeadReckon,e1.trackId,e1.specificType,e1.platform,e1.activity,e1.timestampMicro,e8.mode4,e11.isSimulated,e11.isEmergency,e11.isSpecialProcessing,e11.isFlightPlan,e11.isExercise,e11.isManeuver,e11.isTest,e11.isNonRealTime,e15.sourceId,e18.a1,e18.a2,e18.a3,e18.a4,e18.a5,e18.a6,e18.b2,e18.b3,e18.b4,e18.b5,e18.b6,e18.c3,e18.c4,e18.c5,e18.c6,e18.d4,e18.d5,e18.d6,e18.e5,e18.e6,e18.f6,e3.dropTrack,e7.mode3a,e12.callsign,e10.aircraftICAOType,e14.destinationAerodrome,e23.response,e23.nationalOrigin,e23.platformIdNumber,e23.mode1Code,e23.derivedMode1,e23.derivedMode2,e23.derivedMode3a,e23.derivedMode3c,e9.aircraftAddress,e13.originAerodrome
1743526248,2025-04-01 16:50:48,44642,1175526.604,-5288014.549,3373325.534,32.08395619,-77.46693572,9418.32,0,0,0,0,0,0,0,0,7,Air,TRUE,FALSE,Unknown,0,0,0,57404,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4294967295,4654933.169,641243.2685,-411814.1142,0,0,0,1912898.941,1852513.605,0,0,0,3607775.22,0,0,0,232.2576,0,0,232.2576,0,232.2576,,,,,,,,,,,,,,,
1743526263,2025-04-01 16:51:03,44642,1175526.604,-5288014.549,3373325.534,32.08395619,-77.46693572,9418.32,0,0,0,0,0,0,0,0,7,Air,TRUE,FALSE,Unknown,0,0,0,86570,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4294967295,4654933.169,641243.2685,-411814.1142,0,0,0,1912898.941,1852513.605,0,0,0,3607775.22,0,0,0,232.2576,0,0,232.2576,0,232.2576,,,,,,,,,,,,,,,
1743526273,2025-04-01 16:51:13,44642,1175526.604,-5288014.549,3373325.534,32.08395619,-77.46693572,9418.32,0,0,0,0,0,0,0,0,7,Air,TRUE,FALSE,Unknown,0,0,0,98958,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4294967295,4654933.169,641243.2685,-411814.1142,0,0,0,1912898.941,1852513.605,0,0,0,3607775.22,0,0,0,232.2576,0,0,232.2576,0,232.2576,,,,,,,,,,,,,,,
1743526283,2025-04-01 16:51:23,44642,1175526.604,-5288014.549,3373325.534,32.08395619,-77.46693572,9418.32,0,0,0,0,0,0,0,0,7,Air,TRUE,FALSE,Unknown,0,0,0,106957,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4294967295,4654933.169,641243.2685,-411814.1142,0,0,0,1912898.941,1852513.605,0,0,0,3607775.22,0,0,0,232.2576,0,0,232.2576,0,232.2576,,,,,,,,,,,,,,,
1743526298,2025-04-01 16:51:38,44642,1175526.604,-5288014.549,3373325.534,32.08395619,-77.46693572,9418.32,0,0,0,0,0,0,0,0,7,Air,TRUE,FALSE,Unknown,0,0,0,143894,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4294967295,4654933.169,641243.2685,-411814.1142,0,0,0,1912898.941,1852513.605,0,0,0,3607775.22,0,0,0,232.2576,0,0,232.2576,0,232.2576,,,,,,,,,,,,,,,
1743526308,2025-04-01 16:51:48,44642,1175526.604,-5288014.549,3373325.534,32.08395619,-77.46693572,9418.32,0,0,0,0,0,0,0,0,7,Air,TRUE,FALSE,Unknown,0,0,0,148746,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4294967295,4654933.169,641243.2685,-411814.1142,0,0,0,1912898.941,1852513.605,0,0,0,3607775.22,0,0,0,232.2576,0,0,232.2576,0,232.2576,,,,,,,,,,,,,,,
1743526323,2025-04-01 16:52:03,44642,1175526.604,-5288014.549,3373325.534,32.08395619,-77.46693572,9418.32,0,0,0,0,0,0,0,0,7,Air,TRUE,FALSE,Unknown,0,0,0,165957,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4294967295,4654933.169,641243.2685,-411814.1142,0,0,0,1912898.941,1852513.605,0,0,0,3607775.22,0,0,0,232.2576,0,0,232.2576,0,232.2576,,,,,,,,,,,,,,,
1743526334,2025-04-01 16:52:14,44642,1175526.604,-5288014.549,3373325.534,32.08395619,-77.46693572,9418.32,0,0,0,0,0,0,0,0,7,Air,TRUE,FALSE,Unknown,0,0,0,184997,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4294967295,4654933.169,641243.2685,-411814.1142,0,0,0,1912898.941,1852513.605,0,0,0,3607775.22,0,0,0,232.2576,0,0,232.2576,0,232.2576,,,,,,,,,,,,,,,
1743526344,2025-04-01 16:52:24,44642,1175526.604,-5288014.549,3373325.534,32.08395619,-77.46693572,9418.32,0,0,0,0,0,0,0,0,7,Air,TRUE,FALSE,Unknown,0,0,0,205171,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4294967295,4654933.169,641243.2685,-411814.1142,0,0,0,1912898.941,1852513.605,0,0,0,3607775.22,0,0,0,232.2576,0,0,232.2576,0,232.2576,,,,,,,,,,,,,,,
1743526359,2025-04-01 16:52:39,44642,1175526.604,-5288014.549,3373325.534,32.08395619,-77.46693572,9418.32,0,0,0,0,0,0,0,0,7,Air,TRUE,FALSE,Unknown,0,0,0,234472,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4294967295,4654933.169,641243.2685,-411814.1142,0,0,0,1912898.941,1852513.605,0,0,0,3607775.22,0,0,0,232.2576,0,0,232.2576,0,232.2576,,,,,,,,,,,,,,,
1743526369,2025-04-01 16:52:49,44642,1175526.604,-5288014.549,3373325.534,32.08395619,-77.46693572,9418.32,0,0,0,0,0,0,0,0,7,Air,TRUE,FALSE,Unknown,0,0,0,249727,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4294967295,4654933.169,641243.2685,-411814.1142,0,0,0,1912898.941,1852513.605,0,0,0,3607775.22,0,0,0,232.2576,0,0,232.2576,0,232.2576,,,,,,,,,,,,,,,
1743526384,2025-04-01 16:53:04,44642,1175526.604,-5288014.549,3373325.534,32.08395619,-77.46693572,9418.32,0,0,0,0,0,0,0,0,7,Air,TRUE,FALSE,Unknown,0,0,0,269109,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4294967295,4654933.169,641243.2685,-411814.1142,0,0,0,1912898.941,1852513.605,0,0,0,3607775.22,0,0,0,232.2576,0,0,232.2576,0,232.2576,,,,,,,,,,,,,,,
1743526394,2025-04-01 16:53:14,44642,1175526.604,-5288014.549,3373325.534,32.08395619,-77.46693572,9418.32,0,0,0,0,0,0,0,0,7,Air,TRUE,FALSE,Unknown,0,0,0,283550,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4294967295,4654933.169,641243.2685,-411814.1142,0,0,0,1912898.941,1852513.605,0,0,0,3607775.22,0,0,0,232.2576,0,0,232.2576,0,232.2576,,,,,,,,,,,,,,,
1743526404,2025-04-01 16:53:24,44642,1175526.604,-5288014.549,3373325.534,32.08395619,-77.46693572,9418.32,0,0,0,0,0,0,0,0,7,Air,TRUE,FALSE,Unknown,0,0,0,299626,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4294967295,4654933.169,641243.2685,-411814.1142,0,0,0,1912898.941,1852513.605,0,0,0,3607775.22,0,0,0,232.2576,0,0,232.2576,0,232.2576,,,,,,,,,,,,,,,
1743526419,2025-04-01 16:53:39,44642,1175526.604,-5288014.549,3373325.534,32.08395619,-77.46693572,9418.32,0,0,0,0,0,0,0,0,7,Air,TRUE,FALSE,Unknown,0,0,0,332505,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4294967295,4654933.169,641243.2685,-411814.1142,0,0,0,1912898.941,1852513.605,0,0,0,3607775.22,0,0,0,232.2576,0,0,232.2576,0,232.2576,,,,,,,,,,,,,,,
1743526429,2025-04-01 16:53:49,44642,1175526.604,-5288014.549,3373325.534,32.08395619,-77.46693572,9418.32,0,0,0,0,0,0,0,0,7,Air,TRUE,FALSE,Unknown,0,0,0,338191,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4294967295,4654933.169,641243.2685,-411814.1142,0,0,0,1912898.941,1852513.605,0,0,0,3607775.22,0,0,0,232.2576,0,0,232.2576,0,232.2576,,,,,,,,,,,,,,,
1743526444,2025-04-01 16:54:04,44642,1175526.604,-5288014.549,3373325.534,32.08395619,-77.46693572,9418.32,0,0,0,0,0,0,0,0,7,Air,TRUE,FALSE,Unknown,0,0,0,358115,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4294967295,4654933.169,641243.2685,-411814.1142,0,0,0,1912898.941,1852513.605,0,0,0,3607775.22,0,0,0,232.2576,0,0,232.2576,0,232.2576,,,,,,,,,,,,,,,
1743526454,2025-04-01 16:54:14,44642,1175526.604,-5288014.549,3373325.534,32.08395619,-77.46693572,9418.32,0,0,0,0,0,0,0,0,7,Air,TRUE,FALSE,Unknown,0,0,0,361859,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4294967295,4654933.169,641243.2685,-411814.1142,0,0,0,1912898.941,1852513.605,0,0,0,3607775.22,0,0,0,232.2576,0,0,232.2576,0,232.2576,,,,,,,,,,,,,,,
1743526464,2025-04-01 16:54:24,44642,1175526.604,-5288014.549,3373325.534,32.08395619,-77.46693572,9418.32,0,0,0,0,0,0,0,0,7,Air,TRUE,FALSE,Unknown,0,0,0,387774,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4294967295,4654933.169,641243.2685,-411814.1142,0,0,0,1912898.941,1852513.605,0,0,0,3607775.22,0,0,0,232.2576,0,0,232.2576,0,232.2576,,,,,,,,,,,,,,,
1743526479,2025-04-01 16:54:39,44642,1175526.604,-5288014.549,3373325.534,32.08395619,-77.46693572,9418.32,0,0,0,0,0,0,0,0,7,Air,TRUE,FALSE,Unknown,0,0,0,419527,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4294967295,4654933.169,641243.2685,-411814.1142,0,0,0,1912898.941,1852513.605,0,0,0,3607775.22,0,0,0,232.2576,0,0,232.2576,0,232.2576,,,,,,,,,,,,,,,
1743526489,2025-04-01 16:54:49,44642,1175526.604,-5288014.549,3373325.534,32.08395619,-77.46693572,9418.32,0,0,0,0,0,0,0,0,7,Air,TRUE,FALSE,Unknown,0,0,0,430798,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4294967295,4654933.169,641243.2685,-411814.1142,0,0,0,1912898.941,1852513.605,0,0,0,3607775.22,0,0,0,232.2576,0,0,232.2576,0,232.2576,,,,,,,,,,,,,,,
1743526504,2025-04-01 16:55:04,44642,1175526.604,-5288014.549,3373325.534,32.08395619,-77.46693572,9418.32,0,0,0,0,0,0,0,0,7,Air,TRUE,FALSE,Unknown,0,0,0,458547,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4294967295,4654933.169,641243.2685,-411814.1142,0,0,0,1912898.941,1852513.605,0,0,0,3607775.22,0,0,0,232.2576,0,0,232.2576,0,232.2576,,,,,,,,,,,,,,,
1743526514,2025-04-01 16:55:14,44642,1175526.604,-5288014.549,3373325.534,32.08395619,-77.46693572,9418.32,0,0,0,0,0,0,0,0,7,Air,TRUE,FALSE,Unknown,0,0,0,476870,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4294967295,4654933.169,641243.2685,-411814.1142,0,0,0,1912898.941,1852513.605,0,0,0,3607775.22,0,0,0,232.2576,0,0,232.2576,0,232.2576,,,,,,,,,,,,,,,
1743526524,2025-04-01 16:55:24,44642,1175526.604,-5288014.549,3373325.534,32.08395619,-77.46693572,9418.32,0,0,0,0,0,0,0,0,7,Air,TRUE,FALSE,Unknown,0,0,0,478729,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4294967295,4654933.169,641243.2685,-411814.1142,0,0,0,1912898.941,1852513.605,0,0,0,3607775.22,0,0,0,232.2576,0,0,232.2576,0,232.2576,,,,,,,,,,,,,,,
1743526539,2025-04-01 16:55:39,44642,1175526.604,-5288014.549,3373325.534,32.08395619,-77.46693572,9418.32,0,0,0,0,0,0,0,0,7,Air,TRUE,FALSE,Unknown,0,0,0,496057,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4294967295,4654933.169,641243.2685,-411814.1142,0,0,0,1912898.941,1852513.605,0,0,0,3607775.22,0,0,0,232.2576,0,0,232.2576,0,232.2576,,,,,,,,,,,,,,,
1743526549,2025-04-01 16:55:49,44642,1175526.604,-5288014.549,3373325.534,32.08395619,-77.46693572,9418.32,0,0,0,0,0,0,0,0,7,Air,TRUE,FALSE,Unknown,0,0,0,512650,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4294967295,4654933.169,641243.2685,-411814.1142,0,0,0,1912898.941,1852513.605,0,0,0,3607775.22,0,0,0,232.2576,0,0,232.2576,0,232.2576,,,,,,,,,,,,,,,
1743526564,2025-04-01 16:56:04,44642,1175526.604,-5288014.549,3373325.534,32.08395619,-77.46693572,9418.32,0,0,0,0,0,0,0,0,7,Air,TRUE,FALSE,Unknown,0,0,0,532629,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4294967295,4654933.169,641243.2685,-411814.1142,0,0,0,1912898.941,1852513.605,0,0,0,3607775.22,0,0,0,232.2576,0,0,232.2576,0,232.2576,,,,,,,,,,,,,,,
1743526574,2025-04-01 16:56:14,44642,1175526.604,-5288014.549,3373325.534,32.08395619,-77.46693572,9418.32,0,0,0,0,0,0,0,0,7,Air,TRUE,FALSE,Unknown,0,0,0,561181,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4294967295,4654933.169,641243.2685,-411814.1142,0,0,0,1912898.941,1852513.605,0,0,0,3607775.22,0,0,0,232.2576,0,0,232.2576,0,232.2576,,,,,,,,,,,,,,,
1743526584,2025-04-01 16:56:24,44642,1175526.604,-5288014.549,3373325.534,32.08395619,-77.46693572,9418.32,0,0,0,0,0,0,0,0,7,Air,TRUE,FALSE,Unknown,0,0,0,584831,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4294967295,4654933.169,641243.2685,-411814.1142,0,0,0,1912898.941,1852513.605,0,0,0,3607775.22,0,0,0,232.2576,0,0,232.2576,0,232.2576,,,,,,,,,,,,,,,
1743526599,2025-04-01 16:56:39,44642,1175526.604,-5288014.549,3373325.534,32.08395619,-77.46693572,9418.32,0,0,0,0,0,0,0,0,7,Air,TRUE,FALSE,Unknown,0,0,0,607268,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4294967295,4654933.169,641243.2685,-411814.1142,0,0,0,1912898.941,1852513.605,0,0,0,3607775.22,0,0,0,232.2576,0,0,232.2576,0,232.2576,,,,,,,,,,,,,,,
1743526609,2025-04-01 16:56:49,44642,1175526.604,-5288014.549,3373325.534,32.08395619,-77.46693572,9418.32,0,0,0,0,0,0,0,0,7,Air,TRUE,FALSE,Unknown,0,0,0,638093,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4294967295,4654933.169,641243.2685,-411814.1142,0,0,0,1912898.941,1852513.605,0,0,0,3607775.22,0,0,0,232.2576,0,0,232.2576,0,232.2576,,,,,,,,,,,,,,,
